"namespace","old_clients","new_clients","delta_clients","old_mounts","new_mounts","delta_mounts"
"deleted namespace ""3M5Cl""",1,0,-1,1,0,-1
"deleted namespace ""41gBR""",3,3,0,1,1,0
"deleted namespace ""6PPAx""",4,0,-4,1,0,-1
"deleted namespace ""8Egsn""",3,0,-3,1,0,-1
"deleted namespace ""EqZ38""",3,4,1,1,1,0
"deleted namespace ""IiaWE""",7,7,0,1,1,0
"deleted namespace ""Jkpyk""",3,3,0,1,1,0
"deleted namespace ""L6bxp""",4,4,0,1,1,0
"deleted namespace ""Mb7iR""",1,0,-1,1,0,-1
"deleted namespace ""R0SjX""",7,7,0,1,1,0
"deleted namespace ""YFqMn""",2,0,-2,1,0,-1
"deleted namespace ""dLZsT""",3,3,0,1,1,0
"deleted namespace ""fTMGL""",1,1,0,1,1,0
"deleted namespace ""fhHaj""",4,0,-4,1,0,-1
"deleted namespace ""hy090""",8,0,-8,1,0,-1
"deleted namespace ""ifjJN""",3,3,0,1,1,0
"deleted namespace ""j9I7a""",5,5,0,1,1,0
"deleted namespace ""kcacU""",1,0,-1,1,0,-1
"deleted namespace ""tBcOv""",1,0,-1,1,0,-1
"deleted namespace ""tbReZ""",1,0,-1,1,0,-1
"deleted namespace ""uQSXH""",4,0,-4,1,0,-1
"dr/adq/",1,0,-1,1,0,-1
"dr/atlas/",0,1,1,0,1,1
"dr/azfra1/",1,1,0,1,1,0
"dr/azureuae/",1,1,0,1,1,0
"dr/drt287/",5,7,2,1,1,0
"dr/gcpptest2/",0,7,7,0,1,1
"dr/jeitto/",1,1,0,1,1,0
"dr/libertad/",1,1,0,1,1,0
"dr/montreal/",1,1,0,1,1,0
"dr/osbg/",1,1,0,1,1,0
"dr/platform/",20,18,-2,19,15,-4
"dr/sdb/",1,6,5,1,1,0
"dr/sngpr2/",1,1,0,1,1,0
"dr/ta3meed/",0,1,1,0,1,1
"dr/vault-eu-az/",1,1,0,1,1,0
"dr/zurich/",1,1,0,1,1,0
"gitlab/",2,2,0,1,1,0
"okta/",0,28,28,0,1,1
"prod/alami/",7,7,0,1,1,0
"prod/atlas/",7,7,0,1,1,0
"prod/azfra1/",16,14,-2,1,1,0
"prod/azptest24/",7,15,8,1,1,0
"prod/azureuae/",5,5,0,1,1,0
"prod/bankina/",5,5,0,1,1,0
"prod/bns/",7,7,0,1,1,0
"prod/cd/",11,12,1,1,1,0
"prod/drt287/",3,4,1,1,1,0
"prod/gcppt25/",0,8,8,0,1,1
"prod/gcpptest2/",7,7,0,1,1,0
"prod/jago/",7,7,0,1,1,0
"prod/jeitto/",7,7,0,1,1,0
"prod/koinworks/",7,7,0,1,1,0
"prod/libertad/",5,5,0,1,1,0
"prod/montreal/",5,5,0,1,1,0
"prod/osbg/",7,7,0,1,1,0
"prod/platform/",70,70,0,33,29,-4
"prod/sdb/",3,4,1,1,1,0
"prod/sngpr2/",7,7,0,1,1,0
"prod/ta3meed/",2,3,1,1,1,0
"prod/vault-eu-az/",1,1,0,1,1,0
"prod/wio/",7,7,0,1,1,0
"prod/zurich/",8,7,-1,1,1,0
"root",60,74,14,4,4,0
"sand/adq/",4,0,-4,1,0,-1
"sand/alami/",7,7,0,1,1,0
"sand/atlas/",7,7,0,1,1,0
"sand/azfra1/",16,15,-1,1,1,0
"sand/azureuae/",5,5,0,1,1,0
"sand/bankina/",5,5,0,1,1,0
"sand/bns/",7,7,0,1,1,0
"sand/bsf/",4,3,-1,1,1,0
"sand/jago/",10,9,-1,1,1,0
"sand/jeitto/",7,7,0,1,1,0
"sand/koinworks/",7,7,0,1,1,0
"sand/libertad/",5,5,0,1,1,0
"sand/montreal/",5,5,0,1,1,0
"sand/osb/",4,0,-4,1,0,-1
"sand/osbg/",7,7,0,1,1,0
"sand/platform/",60,51,-9,22,22,0
"sand/sdb/",4,6,2,1,1,0
"sand/sngpr2/",7,7,0,1,1,0
"sand/tameed/",0,7,7,0,1,1
"sand/waas/",0,7,7,0,1,1
"sand/wio/",7,7,0,1,1,0
"sand/zurich/",17,8,-9,1,1,0
